Line_item_target,line_item_narative,label,train_test_tag,description,word_count,yake_keywords,yake_keywords_cutoff,yake_keywords_cutoff_ud,augm_text_default_mn_gpt_neo
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,train,free entry 2 wkly comp win fa cup final tkts 21st may 2005. text fa 87121 receive entry question(std txt rate)t&c's apply 08452810075over18's,23,"[('wkly comp win', 0.008084401239461886), ('cup final tkts', 0.008084401239461886), ('wkly comp', 0.03313312481282493), ('final tkts', 0.03313312481282493), ('comp win', 0.054142070592351293), ('win fa cup', 0.054142070592351293), ('cup final', 0.054142070592351293), ('free entry', 0.06661172096316262), ('receive entry question', 0.08821275592953637), ('std txt rate', 0.1054662887875882), ('free', 0.14151036557581065), ('wkly', 0.14151036557581065), ('tkts', 0.14151036557581065), ('receive entry', 0.19142657955498565), ('entry question', 0.19142657955498565), ('entry', 0.22066123967643278), ('std txt', 0.22494129312349248), ('txt rate', 0.22494129312349248), ('comp', 0.22663023924152845), ('win', 0.22663023924152845)]","['entry', 'std txt', 'txt rate', 'comp', 'win']","entry,std txt,txt rate,comp,win",",win_size,win_size_type,win_size_type_type,win_size_type_type,win_size_type_type,win_size_type_type,win_size_type_type"
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",1,train,"freemsg hey darling 3 week's word back! i'd like fun still? tb ok! xxx std chgs send, å£1.50 rcv",19,"[('freemsg hey darling', 0.02691068905217439), ('week word back', 0.02691068905217439), ('freemsg hey', 0.10302256008155819), ('hey darling', 0.10302256008155819), ('week word', 0.10302256008155819), ('word back', 0.10302256008155819), ('freemsg', 0.23133275159292982), ('darling', 0.23133275159292982), ('week', 0.23133275159292982), ('back', 0.23133275159292982), ('rcv', 0.31813151393529204), ('hey', 0.4037484044059793), ('word', 0.4037484044059793), ('xxx', 0.6511101154454433), ('send', 0.6511101154454433), ('fun', 0.7016498766455139), ('std', 0.8076562869538214), ('chgs', 0.8076562869538214), ('xxx std', 1.109140327234087), ('chgs send', 1.109140327234087)]","['freemsg', 'darling', 'week', 'back', 'rcv', 'hey', 'word', 'xxx', 'send', 'fun', 'std', 'chgs', 'xxx std', 'chgs send']","freemsg,darling,week,back,rcv,hey,word,xxx,send,fun,std,chgs,xxx std,chgs send",",chgs send,chgs send,chgs send,chgs send,chgs send,chgs send,chgs send,chgs send,chgs send,chgs send,chgs send,chgs send,ch"
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,train,mobile 11 months more? u r entitled update latest colour mobiles camera free! call mobile update co free 08002986030,19,"[('months', 0.1697105518431889), ('free', 0.20467705669762226), ('mobiles camera free', 0.23021704905777543), ('mobile', 0.2725145513017557), ('camera free', 0.27433082630818034), ('update', 0.2879919638870705), ('latest colour mobiles', 0.3337311191391956), ('colour mobiles camera', 0.3337311191391957), ('entitled update latest', 0.36516525500238645), ('update latest colour', 0.36516525500238645), ('call mobile update', 0.36662850297954663), ('latest colour', 0.38228118622337237), ('call mobile', 0.38332675828005425), ('colour mobiles', 0.40178583783789046), ('mobiles camera', 0.40178583783789046), ('entitled update', 0.434520668404809), ('update latest', 0.434520668404809), ('mobile update', 0.4575729730472804), ('call', 0.5084223878225196), ('entitled', 0.5258880036475456)]","['free', 'mobiles camera free', 'mobile', 'camera free', 'update', 'latest colour mobiles', 'colour mobiles camera', 'entitled update latest', 'update latest colour', 'call mobile update', 'latest colour', 'call mobile', 'colour mobiles', 'mobiles camera', 'entitled update', 'update latest', 'mobile update', 'call', 'entitled']","free,mobiles camera free,mobile,camera free,update,latest colour mobiles,colour mobiles camera,entitled update latest,update latest colour,call mobile update,latest colour,call mobile,colour mobiles,mobiles camera,entitled update,update latest,mobile update,call,entitled"," update,update latest colour,call,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,update,"
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1,train,"six chances win cash! 100 20,000 pounds txt> csh11 send 87575. cost 150p/day, 6days, 16+ tsandcs apply reply hl 4 info",21,"[('chances win cash', 0.04455847491337158), ('win cash', 0.0934346755383478), ('chances win', 0.17756077014849755), ('send', 0.19677146788549632), ('cash', 0.2200560909321288), ('cost', 0.26303348124903125), ('day', 0.26303348124903125), ('info', 0.26303348124903125), ('pounds txt', 0.32441639786848336), ('chances', 0.38831292435681075), ('win', 0.38831292435681075), ('pounds', 0.4949246952252326), ('txt', 0.4949246952252326), ('tsandcs', 0.5880798524606783), ('apply', 0.7625957055371981), ('reply', 0.7625957055371981), ('tsandcs apply', 0.8131286944405928), ('apply reply', 1.3897843987848642), ('tsandcs apply reply', 1.6641344268913383)]","['cash', 'cost', 'day', 'info', 'pounds txt', 'chances', 'win', 'pounds', 'txt', 'tsandcs', 'apply', 'reply', 'tsandcs apply', 'apply reply', 'tsandcs apply reply']","cash,cost,day,info,pounds txt,chances,win,pounds,txt,tsandcs,apply,reply,tsandcs apply,apply reply,tsandcs apply reply",",tsandcs apply reply,tsandcs apply reply,tsandcs apply reply,tsandcs apply reply,tsandcs apply reply,tsandcs apply reply,tsandcs apply reply,tsandcs apply reply,ts"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,train,"xxxmobilemovieclub: use credit, click wap link next txt message click here>> http://wap. xxxmobilemovieclub.com?n=qjkgighjjgcbl",13,"[('txt message click', 0.025126430525707552), ('click wap link', 0.03398647898783084), ('link next txt', 0.06700577021681149), ('txt message', 0.06700577021681149), ('xxxmobilemovieclub', 0.0771485953923296), ('http', 0.0771485953923296), ('wap link', 0.08896099380767705), ('message click', 0.08896099380767705), ('click wap', 0.1189118212433493), ('credit', 0.15831692877998726), ('click', 0.16299886812352193), ('wap', 0.16299886812352193), ('xxxmobilemovieclub.com', 0.22501140196509825), ('qjkgighjjgcbl', 0.22501140196509825), ('link', 0.2505951825352756), ('txt', 0.2505951825352756), ('message', 0.2505951825352756)]","['xxxmobilemovieclub.com', 'qjkgighjjgcbl', 'link', 'txt', 'message']","xxxmobilemovieclub.com,qjkgighjjgcbl,link,txt,message",",video,audio,audio-video,audio-audio,audio-audio-audio,audio-audio-audio-audio,audio-audio-audio-audio-audio,audio-audio-audio-audio-audio,audio-audio"
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1,train,thanks subscription ringtone uk mobile charged å£5/month please confirm replying yes no. reply charged,14,"[('month please confirm', 0.020744656539556924), ('subscription ringtone', 0.03439110359613085), ('ringtone uk mobile', 0.03439110359613085), ('confirm replying', 0.03439110359613085), ('mobile charged', 0.05033870131288873), ('reply charged', 0.05033870131288873), ('month', 0.11145728654016383), ('charged', 0.1314201551237121), ('subscription', 0.1823394614884183), ('ringtone', 0.1823394614884183), ('mobile', 0.1823394614884183), ('confirm', 0.1823394614884183), ('replying', 0.1823394614884183), ('reply', 0.1823394614884183)]",[],,on-1-0-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1,train,07732584351 - rodger burns - msg = tried call reply sms free nokia mobile + free camcorder. please call 08000930705 delivery tomorrow,22,"[('free nokia mobile', 0.013635281357903649), ('reply sms free', 0.022619048026866942), ('sms free nokia', 0.022619048026866942), ('rodger burns', 0.024025565434766742), ('call reply sms', 0.035710233126699284), ('nokia mobile', 0.038712704770480444), ('free camcorder', 0.05071272082504947), ('reply sms', 0.06293003982763551), ('msg', 0.0744086357708869), ('sms free', 0.08303696244858727), ('free nokia', 0.08303696244858727), ('call reply', 0.1273706910391025), ('rodger', 0.1531727145735673), ('burns', 0.1531727145735673), ('mobile', 0.1531727145735673), ('camcorder', 0.1531727145735673), ('free', 0.1575511279697302), ('delivery tomorrow', 0.17489688856027394), ('call', 0.23216465691767033), ('reply', 0.2433193585127945)]","['call', 'reply']","call,reply",",reply_timeout,reply_timeout_timeout,reply_timeout_timeout_timeout,reply_timeout_timeout_timeout,reply_timeout_timeout_timeout,reply_timeout_timeout_timeout,reply_timeout_timeout_timeout"
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1,train,sms. ac sptv: new jersey devils detroit red wings play ice hockey. correct incorrect? end? reply end sptv,18,"[('sms', 0.09756636372427746), ('sptv', 0.27542251120141353), ('ice hockey', 0.3791465823509405), ('end', 0.3821590754301772), ('play ice hockey', 0.39306518175670857), ('correct incorrect', 0.43766395334378305), ('hockey', 0.4579509231374065), ('correct', 0.5517491815123355), ('incorrect', 0.5517491815123355), ('jersey devils', 0.5634178957652078), ('devils detroit', 0.5634178957652078), ('detroit red', 0.5634178957652078), ('red wings', 0.5634178957652078), ('wings play', 0.5634178957652078), ('play ice', 0.5634178957652078), ('jersey', 0.6003130428120194), ('devils', 0.6003130428120194), ('detroit', 0.6003130428120194), ('red', 0.6003130428120194), ('wings', 0.6003130428120194)]","['sptv', 'ice hockey', 'end', 'play ice hockey', 'correct incorrect', 'hockey', 'correct', 'incorrect', 'jersey devils', 'devils detroit', 'detroit red', 'red wings', 'wings play', 'play ice', 'jersey', 'devils', 'detroit', 'red', 'wings']","sptv,ice hockey,end,play ice hockey,correct incorrect,hockey,correct,incorrect,jersey devils,devils detroit,detroit red,red wings,wings play,play ice,jersey,devils,detroit,red,wings",",detroit,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,red,"
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",1,train,"congrats! 1 year special cinema pass 2 yours. call 09061209465 now! c suprman v, matrix3, starwars3, etc 4 free! bx420-ip4-5we. 150pm. dont miss out!",24,"[('congrats', 0.07603480450132771), ('call', 0.29398443649642175), ('free', 0.3378791551946096), ('year', 0.5334123225668109), ('pass', 0.5334123225668109), ('year special', 0.6236164721966415), ('cinema pass', 0.6236164721966415), ('special', 0.7200639774889672), ('cinema', 0.7200639774889672), ('dont', 0.7337013600859619), ('suprman', 0.8211950037675024), ('miss', 0.8610949188182959), ('year special cinema', 1.0379186637034612), ('special cinema pass', 1.0379186637034612), ('special cinema', 1.076809260632211), ('dont miss', 1.7158157850742677)]","['call', 'free', 'year', 'pass', 'year special', 'cinema pass', 'special', 'cinema', 'dont', 'suprman', 'miss', 'year special cinema', 'special cinema pass', 'special cinema', 'dont miss']","call,free,year,pass,year special,cinema pass,special,cinema,dont,suprman,miss,year special cinema,special cinema pass,special cinema,dont miss",",dont,dont,dont,dont,dont,dont,dont,dont,dont,dont,dont,dont,dont,dont,dont,dont,d"
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1,train,"urgent ur awarded complimentary trip eurodisinc trav, aco&entry41 å£1000. claim txt dis 87121 18+6*å£1.50(morefrmmob. shracomorsglsuplt)10, ls1 3aj",17,"[('trip eurodisinc trav', 0.005401660759706154), ('awarded complimentary trip', 0.009001679881101624), ('complimentary trip eurodisinc', 0.009001679881101624), ('urgent ur awarded', 0.02541909697430123), ('eurodisinc trav', 0.02541909697430123), ('awarded complimentary', 0.04188746641162499), ('complimentary trip', 0.04188746641162499), ('trip eurodisinc', 0.04188746641162499), ('aco', 0.05899937629682816), ('claim txt dis', 0.07334158415128475), ('morefrmmob. shracomorsglsuplt', 0.12124452117740256), ('urgent', 0.12363091320521931), ('trav', 0.12363091320521931), ('claim txt', 0.18075564686791562), ('txt dis', 0.18075564686791562), ('awarded', 0.2005079697193566), ('complimentary', 0.2005079697193566), ('trip', 0.2005079697193566), ('eurodisinc', 0.2005079697193566), ('claim', 0.32883716426354986)]","['awarded', 'complimentary', 'trip', 'eurodisinc', 'claim']","awarded,complimentary,trip,eurodisinc,claim",",

and,

and,

and,

and,

and,

and,

and,

and,

and,

and,

and,

and,
"
