line_item_narative,Line_item_target,aug_flag
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",ham,default
Ok lar... Joking wif u oni...,ham,default
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam,default
U dun say so early hor... U c already then say...,ham,default
"Nah I don't think he goes to usf, he lives around here though",ham,default
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",spam,default
Even my brother is not like to speak with me. They treat me like aids patent.,ham,default
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham,default
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,spam,default
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",ham,default
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",spam,default
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ham,default
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",spam,default
Oh k...i'm watching here:),ham,default
Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,ham,default
Is that seriously how you spell his name?,ham,default
IÛ÷m going to try for 2 months ha ha only joking,ham,default
So Ì_ pay first lar... Then when is da stock comin...,ham,default
Ffffffffff. Alright no way I can meet up with you sooner?,ham,default
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,ham,default
"I'm back &amp; we're packing the car now, I'll let you know if there's room",ham,default
Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,spam,default
