Line_item_target,line_item_narative,label,train_test_tag,description,word_count,yake_keywords,yake_keywords_cutoff,yake_keywords_cutoff_ud
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0,train,"go jurong point, crazy.. available bugis n great world la e buffet... cine got amore wat...",16,"[('crazy.', 0.06588837669267192), ('jurong point', 0.0934346755383478), ('point', 0.2200560909321288), ('jurong', 0.38831292435681075), ('buffet', 0.4949246952252326), ('cine', 0.5880798524606783), ('wat', 0.5880798524606783), ('bugis', 0.68796622281612), ('great', 0.68796622281612), ('world', 0.68796622281612), ('amore', 0.7625957055371981), ('cine got amore', 0.8131286944405928), ('amore wat', 0.8131286944405928), ('bugis n great', 0.8986050855370177), ('great world', 0.8986050855370177)]","['point', 'jurong', 'buffet', 'cine', 'wat', 'bugis', 'great', 'world', 'amore', 'cine got amore', 'amore wat', 'bugis n great', 'great world']","point,jurong,buffet,cine,wat,bugis,great,world,amore,cine got amore,amore wat,bugis n great,great world"
ham,Ok lar... Joking wif u oni...,0,train,ok lar... joking wif u oni...,6,"[('lar', 0.2005079697193566), ('joking wif', 0.4456055016437946), ('wif u oni', 0.4456055016437946), ('joking', 0.46553351027698087), ('oni', 0.46553351027698087), ('wif', 0.6621399683957523)]","['lar', 'joking wif', 'wif u oni', 'joking', 'oni', 'wif']","lar,joking wif,wif u oni,joking,oni,wif"
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,train,free entry 2 wkly comp win fa cup final tkts 21st may 2005. text fa 87121 receive entry question(std txt rate)t&c's apply 08452810075over18's,23,"[('wkly comp win', 0.008084401239461886), ('cup final tkts', 0.008084401239461886), ('wkly comp', 0.03313312481282493), ('final tkts', 0.03313312481282493), ('comp win', 0.054142070592351293), ('win fa cup', 0.054142070592351293), ('cup final', 0.054142070592351293), ('free entry', 0.06661172096316262), ('receive entry question', 0.08821275592953637), ('std txt rate', 0.1054662887875882), ('free', 0.14151036557581065), ('wkly', 0.14151036557581065), ('tkts', 0.14151036557581065), ('receive entry', 0.19142657955498565), ('entry question', 0.19142657955498565), ('entry', 0.22066123967643278), ('std txt', 0.22494129312349248), ('txt rate', 0.22494129312349248), ('comp', 0.22663023924152845), ('win', 0.22663023924152845)]","['entry', 'std txt', 'txt rate', 'comp', 'win']","entry,std txt,txt rate,comp,win"
ham,U dun say so early hor... U c already then say...,0,train,u dun say early hor... u c already say...,9,"[('early hor', 0.02541909697430123), ('dun say early', 0.04188746641162499), ('hor', 0.12363091320521931), ('dun', 0.2005079697193566), ('early', 0.2005079697193566)]","['dun', 'early']","dun,early"
ham,"Nah I don't think he goes to usf, he lives around here though",0,train,"nah think goes usf, lives around though",7,"[('nah', 0.15831692877998726), ('usf', 0.15831692877998726), ('lives', 0.15831692877998726)]",[],
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",1,train,"freemsg hey darling 3 week's word back! i'd like fun still? tb ok! xxx std chgs send, å£1.50 rcv",19,"[('freemsg hey darling', 0.02691068905217439), ('week word back', 0.02691068905217439), ('freemsg hey', 0.10302256008155819), ('hey darling', 0.10302256008155819), ('week word', 0.10302256008155819), ('word back', 0.10302256008155819), ('freemsg', 0.23133275159292982), ('darling', 0.23133275159292982), ('week', 0.23133275159292982), ('back', 0.23133275159292982), ('rcv', 0.31813151393529204), ('hey', 0.4037484044059793), ('word', 0.4037484044059793), ('xxx', 0.6511101154454433), ('send', 0.6511101154454433), ('fun', 0.7016498766455139), ('std', 0.8076562869538214), ('chgs', 0.8076562869538214), ('xxx std', 1.109140327234087), ('chgs send', 1.109140327234087)]","['freemsg', 'darling', 'week', 'back', 'rcv', 'hey', 'word', 'xxx', 'send', 'fun', 'std', 'chgs', 'xxx std', 'chgs send']","freemsg,darling,week,back,rcv,hey,word,xxx,send,fun,std,chgs,xxx std,chgs send"
ham,Even my brother is not like to speak with me. They treat me like aids patent.,0,train,even brother like speak me. treat like aids patent.,9,"[('aids patent', 0.015380821171891606), ('brother like speak', 0.02570861714399338), ('speak me. treat', 0.02570861714399338), ('treat like aids', 0.02570861714399338), ('patent', 0.09568045026443411), ('brother', 0.15831692877998726), ('speak', 0.15831692877998726), ('treat', 0.15831692877998726), ('aids', 0.15831692877998726)]",[],
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,train,per request 'melle melle (oru minnaminunginte nurungu vettam)' set callertune callers. press *9 copy friends callertune,16,"[('oru minnaminunginte nurungu', 0.010720337650632189), ('minnaminunginte nurungu vettam', 0.01072033765063219), ('set callertune callers', 0.013281216674078647), ('oru minnaminunginte', 0.03985444220279051), ('nurungu vettam', 0.03985444220279051), ('minnaminunginte nurungu', 0.0647213843491835), ('set callertune', 0.07858248726435892), ('callertune callers', 0.07858248726435892), ('melle melle', 0.11402536881235625), ('request', 0.1554527012770092), ('oru', 0.1554527012770092), ('vettam', 0.1554527012770092), ('set', 0.1554527012770092), ('callers', 0.1554527012770092), ('melle', 0.15996435041261692), ('copy friends callertune', 0.1752028159302791), ('press', 0.22125774619993788), ('callertune', 0.23433876543145388), ('minnaminunginte', 0.246550513069643), ('nurungu', 0.246550513069643)]","['press', 'callertune', 'minnaminunginte', 'nurungu']","press,callertune,minnaminunginte,nurungu"
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,test,winner!! valued network customer selected receivea å£900 prize reward! claim call 09061701461. claim code kl341. valid 12 hours only.,19,"[('winner', 0.08867509694848638), ('prize reward', 0.22936144753125604), ('claim', 0.2623309211896531), ('valued network customer', 0.311252112281087), ('valued network', 0.33026842554005303), ('claim call', 0.3807353836998558), ('valid', 0.4078549698649528), ('valued', 0.43193700797556733), ('prize', 0.43193700797556733), ('reward', 0.43193700797556733), ('claim code', 0.4329174472329213), ('network customer selected', 0.4886045601591578), ('customer selected receivea', 0.4886045601591578), ('network customer', 0.4933859464149736), ('customer selected', 0.4933859464149736), ('selected receivea', 0.4933859464149736), ('call', 0.5255733135393469), ('network', 0.5747875562900534), ('customer', 0.5747875562900534), ('selected', 0.5747875562900534)]","['prize reward', 'claim', 'valued network customer', 'valued network', 'claim call', 'valid', 'valued', 'prize', 'reward', 'claim code', 'network customer selected', 'customer selected receivea', 'network customer', 'customer selected', 'selected receivea', 'call', 'network', 'customer', 'selected']","prize reward,claim,valued network customer,valued network,claim call,valid,valued,prize,reward,claim code,network customer selected,customer selected receivea,network customer,customer selected,selected receivea,call,network,customer,selected"
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,train,mobile 11 months more? u r entitled update latest colour mobiles camera free! call mobile update co free 08002986030,19,"[('months', 0.1697105518431889), ('free', 0.20467705669762226), ('mobiles camera free', 0.23021704905777543), ('mobile', 0.2725145513017557), ('camera free', 0.27433082630818034), ('update', 0.2879919638870705), ('latest colour mobiles', 0.3337311191391956), ('colour mobiles camera', 0.3337311191391957), ('entitled update latest', 0.36516525500238645), ('update latest colour', 0.36516525500238645), ('call mobile update', 0.36662850297954663), ('latest colour', 0.38228118622337237), ('call mobile', 0.38332675828005425), ('colour mobiles', 0.40178583783789046), ('mobiles camera', 0.40178583783789046), ('entitled update', 0.434520668404809), ('update latest', 0.434520668404809), ('mobile update', 0.4575729730472804), ('call', 0.5084223878225196), ('entitled', 0.5258880036475456)]","['free', 'mobiles camera free', 'mobile', 'camera free', 'update', 'latest colour mobiles', 'colour mobiles camera', 'entitled update latest', 'update latest colour', 'call mobile update', 'latest colour', 'call mobile', 'colour mobiles', 'mobiles camera', 'entitled update', 'update latest', 'mobile update', 'call', 'entitled']","free,mobiles camera free,mobile,camera free,update,latest colour mobiles,colour mobiles camera,entitled update latest,update latest colour,call mobile update,latest colour,call mobile,colour mobiles,mobiles camera,entitled update,update latest,mobile update,call,entitled"
